Person title (if any),Surname,Name,Born,Died,Affiliation,City (Affiliation) History,City (Affiliation) Geography,Nation (Affiliation) History,Nation (Affiliation) Geography,Role in the IMO Commission,Field of study
(Director),Åkerman,Ake,1887,1955,Svalöf Plant Breeding Institute,Svalöf,Svalöv,Sweden,Sweden,Member,Agriculture
(Former director of the French Meteorological Service),Angot,Alfred,1848,1924,,Paris,Paris,France,France,Member,Meteorology
,Azzi,Girolamo,1885,1969,Italian Central Office of Meteorology and Geodynamics,Rome,Rome,Italy,Italy,Member,Agriculture
"Rev. Chaplain-Colonel
(Director)",Bates,Daniel Cross,1868,1954,Dominion Meteorological Office,Wellington,Wellington,New Zealand,New Zealand,Member,Meteorology
"Révérend Père
(Director)",Berloty,Bonaventure,1856,1934,Ksara Observatory,Ksara,Ksara,Syria,Lebanon,Member,Meteorology
"Prof
(Chief)",Brounov,Peter Ivanovich,1853,1927,"Agricultural Meteorology Bureau, Institute of Botany",Petrograd,St Petersburg,Russia,Russia,Member,Agriculture
Ingénieur agronome,Carton,Paul,1891,1969,General Inspectorate for Agriculture of the French Indochina,Hanoi,Hanoi,Indochine,Vietnam,Member,Agriculture
(Chief Climatologist),Connor,Abraham James,1884,1955,Canadian Meteorological Service,Toronto,Toronto,Canada,Canada,Member,Meteorology
(Director),La Cour,Dan,1876,1942,Danish Meteorological Institute,Copenhagen,Copenhagen,Denmark,Denmark,Member,Meteorology
,Dongier,Raphaël,1866,1929,Institute for Geosciences,Paris,Paris,France,France,Member,Meteorology
(Vice-President),Dop,Louis,1866,1935,International Institute of Agriculture,Rome,Rome,Italy,Italy,Member,Agriculture
Prof,van Everdingen,Ewoud,1873,1955,Royal Dutch Meteorological Institute,De Bilt,De Bilt,The Netherlands,The Netherlands,Member,Meteorology
"Dr
(Director)",Ferraz,Joaquim de Sampaio,1882,1966,Brasilian Meteorological Institute,Rio de Janeiro,Rio de Janeiro,Brasil,Brasil,Member,Meteorology 
,Figuereido,Filipe Eduardo de Almeida,1858,1930,Portuguese Agronomic Institute,Lisbon,Lisbon,Portugal,Portugal,Member,Agriculture
(Chief),Fisher,Ronald Aylmer,1890,1962,Rothamsted Experimental Station,Harpenden,Harpenden,Great Britain,Great Britain,Member,Agriculture
"Prof Dr
(Director)",Fontseré i Riba,Eduardo,1870,1970,Catalan Meteorological Service,Barcelona,Barcelona,Spain,Spain,Member,Meteorology
(Director),Galbis,José,1868,1952,Spanish Meteorological Service,Madrid,Madrid,Spain,Spain,Member,Geography
Prof,Gomes,Mário de Azevedo,1885,1965,Portuguese Agronomy Institute,Lisbon,Lisbon,Portugal,Portugal,Member,Agriculture
Prof,Hagem,Oscar,1885,1982,Bergen Museum,Bergen,Bergen,Norway,Norway,Member,Agriculture
(Chief),Hansen,Hans Jensen,1875,1968,Climatology Bureau of the Danish Meteorological Institute,Copenhagen,Copenhagen,Denmark,Denmark,Member,Meteorology
"Dr
(Director)",Hartman,Christian M. A.,1866,1925,Royal Dutch Meteorological Institute,de Bilt,de Bilt,The Netherlands,The Netherlands,Member,Meteorology
"Prof
(Director)",Hesselberg,(Hans) Theodor,1885,1966,Norwegian Meteorological Institute,Christiania,Oslo,Norway,Norway,Member,Meteorology
,Hooker,Reginald Hawthorn,1867,1944,British Ministry of Agriculture and Fisheries,London,London,Great Britain,Great Britain,Member,Agriculture
"Prof
(Director)",Mathias,Émile,1861,1942,Puy-de-Dôme Observatory,Clermont-Ferrand,Clermont-Ferrand,France,France,Member,Meteorology
"Prof
(Director)",Mercanton,Paul Louis,1876,1963,"University of Lausanne and Meteorological Service, Canton of Vaud",Lausanne,Lausanne,Switzerland,Switzerland,Member,Meteorology
"Prof Dr
(Director)",Okada,Takematsu,1874,1956,Japan Central Meteorological Observatory,Tokyo,Tokyo,Japan,Japan,Member,Meteorology
(Inspector general),Rey,Pierre,1876,1946,French Agricultural Meteorological Service,Paris,Paris,France,France,Secretary,Agriculture
Prof Dr,Schönrock,Alexander Michajlovič,1853,1937,Central Geophysical Observatory,Leningrad,St Petersburg,USSR,Russia,Member,Meteorology
"(Former director of the Meteorological Office, London)",Shaw,William Napier,1854,1945,Imperial College,London,London,Great Britain,Great Britain,Member,Meteorology
Dr,Shutt,Frank Thomas,1859,1940,Dominion Experimental Farm,Ottawa,Ottawa,Canada,Canada,Member,Agriculture
(Director),Simpson,George Clarke,1878,1965,British Meteorological Office,London,London,Great Britain,Great Britain,Member,Meteorology
(Chief),Smith,John Warren,1863,1940,"Division of Agricultural Meteorology, US Weather Bureau",Washington,Washington,United States,United States,Member,Agriculture
Prof Dr,Taylor,Thomas Griffith,1880,1963,"Department of Geography, University of Sydney",Sydney,Sydney,Australia,Australia,Member,Geography
"Dr
(Director)",Wallén,Axel Wilhelm,1877,1935,Swedish Hydrographical and Meteorological Service,Stockholm,Stockholm,Sweden,Sweden,President,Meteorology
,Wehrlé,Philippe,1890,1965,French Meteorological Service,Paris,Paris,France,France,Member,Meteorology
(Director),Wery,Georges Eugène,1861,1936,French National Agronomy Institute,Paris,Paris,France,France,Member,Agriculture
Prof,Westerdijk,Johanna,1883,1961,"W. C. Scholten Laboratory, University of Utrecht",Baarn,Baarn,The Netherlands,The Netherlands,Member,Agriculture
,Whipple,Francis John Welsh,1876,1943,British Meteorological Office,London,London,Great Britain,Great Britain,Member,Meteorology
