Person title (if any),Surname,Name,Born,Died,Affiliation,City (Affiliation) History,City (Affiliation) Geography,Nation (Affiliation) History,Nation (Affiliation) Network,Nation (Affiliation) Geography,Role in the IMO Commission,Field of study
"Dr
(Director)",Åkerman,Ake,1887,1955,Svalöf Plant Breeding Institute,Svalöf,Svalöv,Sweden,Sweden,Sweden,Member,Agriculture
"Prof
(Chief of the Section of the Monthly Bulletin (Meteorological Review))",Askinazy,Vladimir Osipovich,1873,1928,Central Geophysical Observatory ,Leningrad,St Petersburg,USSR,USSR,Russia,Member,Meteorology
"Prof
(Chair of Agricultural Ecology)",Azzi,Girolamo,1885,1969,Agronomy Institute,Perugia,Perugia,Italy,Italy,Italy,Member,Agriculture
"Rev. Chaplain-Colonel
(Director)",Bates,Daniel Cross,1868,1954,Dominion Meteorological Office,Wellington,Wellington,New Zealand,New Zealand,New Zealand,Member,Meteorology
"Révérend Père
(Director)",Berloty,Bonaventure,1856,1934,Ksara Observatory,Ksara,Ksara,France (French Syria),France,Lebanon,Member,Meteorology
Dr,Braak,Cornelis,1880,1973,Royal Dutch Meteorological Institute,de Bilt,de Bilt,The Netherlands,The Netherlands,The Netherlands,Member,Meteorology
"Prof
(Chief)",Brounov,Peter Ivanovich,1853,1927,"Agricultural Meteorology Bureau, Institute of Botany",Leningrad,St Petersburg,USSR,USSR,Russia,Member,Agriculture
Ingénieur agronome,Carton,Paul,1891,1969,General Inspectorate for Agriculture of the French Indochina,Hanoi,Hanoi,France (French Indochina),France,Vietnam,Member,Agriculture
(Chief Climatologist),Connor,Abraham James,1884,1955,Canadian Meteorological Service,Toronto,Toronto,Canada,Canada,Canada,Member,Meteorology
(Director),La Cour,Dan,1876,1942,Danish Meteorological Institute,Copenhagen,Copenhagen,Denmark,Denmark,Denmark,Member,Meteorology
,Dongier,Raphaël,1866,1929,Institute for Geosciences,Paris,Paris,France,France,France,Member,Meteorology
(Vice-President),Dop,Louis,1866,1935,International Institute of Agriculture,Rome,Rome,Italy,Italy,Italy,Member,Agriculture
(Director),Eredia,Filippo,1877,1948,Italian Central Bureau of Meteorology and Geodynamics,Rome,Rome,Italy,Italy,Italy,Member,Meteorology
"Dr
(Director)",Ferraz,Joaquim de Sampaio,1882,1966,Brasilian Meteorological Service,Rio de Janeiro,Rio de Janeiro,Brasil,Brasil,Brasil,Member,Meteorology
(Director),Figuereido,Filipe Eduardo de Almeida,1858,1930,Portuguese Agronomy Institute,Lisbon,Lisbon,Portugal,Portugal,Portugal,Member,Agriculture
(Chief),Fisher,Ronald Aylmer,1890,1962,Rothamsted Experimental Station,Harpenden,Harpenden,Great Britain,Great Britain,Great Britain,Member,Agriculture
"Prof Dr
(Director)",Fontseré i Riba,Eduardo,1870,1970,Catalan Meteorological Service,Barcelona,Barcelona,Spain,Spain,Spain,Member,Meteorology
(Vice-President),Galbis,José,1868,1952,National Association of Agricultural Insurances,Madrid,Madrid,Spain,Spain,Spain,Member,Geography
Prof,Gomes,Mário de Azevedo,1885,1965,Portuguese Agronomy Institute,Lisbon,Lisbon,Portugal,Portugal,Portugal,Member,Agriculture
Prof,Hagem,Oscar,1885,1982,Bergen Museum,Bergen,Bergen,Norway,Norway,Norway,Member,Agriculture
(Chief),Hansen,Hans Jensen,1875,1968,Climatology Bureau of the Danish Meteorological Institute,Copenhagen,Copenhagen,Denmark,Denmark,Denmark,Member,Meteorology
"Prof
(Director)",Hesselberg,(Hans) Theodor,1885,1966,Norwegian Meteorological Institute,Oslo,Oslo,Norway,Norway,Norway,Member,Meteorology
Prof ,Holdefleiss,Paul,1865,1940,"Agronomy Institute, University of Halle",Halle,Halle,Germany,Germany,Germany,Member,Agriculture
,Hooker,Reginald Hawthorn,1867,1944,British Ministry of Agriculture and Fisheries,London,London,Great Britain,Great Britain,Great Britain,Member,Agriculture
Dr,Knoch,Karl,1883,1972,Prussian Meteorological Institute,Berlin,Berlin,Germany,Germany,Germany,Member,Meteorology
"Prof
(Director)",Mathias,Émile,1861,1942,Puy-de-Dôme Observatory,Clermont-Ferrand,Clermont-Ferrand,France,France,France,Member,Meteorology
Dr,Melander,Gustaf,1861,1938,Finnish Meteorological Institute,Helsinki,Helsinki,Finland,Finland,Finland,Member,Meteorology
"Prof
(Director)",Mercanton,Paul Louis,1876,1963,"University of Lausanne and Meteorological Service, Canton of Vaud",Lausanne,Lausanne,Switzerland,Switzerland,Switzerland,Member,Meteorology
"Prof Dr
(Director)",Okada,Takematsu,1874,1956,Japan Central Meteorological Observatory,Tokyo,Tokyo,Japan,Japan,Japan,Member,Meteorology
(Inspecteur général),Rey,Pierre,1876,1946,French Agronomy Research Institute,Paris,Paris,France,France,France,Secretary,Agriculture
