Person title (if any),Surname,Name,Born,Died,Affiliation,City (Affiliation) History,City (Affiliation) Geography,Nation (Affiliation) History,Nation (Affiliation) Network,Nation (Affiliation) Geography,Role in the IMO Commission,Field of study
(Director),Åkerman,Ake,1887,1955,Svalöf Plant Breeding Institute,Svalöf,Svalöv,Sweden,Sweden,Sweden,Member,Agriculture
"(Prof)
(Chair of agricultural ecology)",Azzi,Girolamo,1885,1969,Agronomy Institute,Perugia,Perugia,Italy,Italy,Italy,Member,Agriculture
(Director),Bamford,Alec Joscelyne,1885,1957,Colombo Observatory,Colombo,Colombo,Great Britain (Ceylon),Great Britain,Sri Lanka,Member,Meteorology
(Director),Barloti,Jānis,1895,1965,Central Meteorological Bureau of Latvia,Riga,Riga,Latvia,Latvia,Latvia,Member,Agriculture
Rev Chaplain-Colonel (Director),Bates,Daniel Cross,1868,1954,Dominion Meteorological Office,Wellington,Wellington,New Zealand,New Zealand,New Zealand,Member,Meteorology
"Révérend Père
(Director)",Berloty,Bonaventure,1856,1934,Ksara Observatory,Ksara,Ksara,France (French Syria),France,Lebanon,Member,Meteorology
Dr,Braak,Cornelis,1880,1973,Royal Dutch Meteorological Institute,de Bilt,de Bilt,The Netherlands,The Netherlands,The Netherlands,Member,Meteorology
"Ingénieur agronome
(Chief)",Carton,Paul,1891,1969,"Climatology and Agricultural Meteorology Bureau, Indochina Central Observatory",Phu Lien,Phu Lien,France (French Indochina),France,Vietnam,Member,Agriculture
(Chief Climatologist),Connor,Abraham James,1884,1955,Canadian Meteorological Service,Toronto,Toronto,Canada,Canada,Canada,Member,Meteorology
(Director),La Cour,Dan,1876,1942,Danish Meteorological Institute,Copenhagen,Copenhagen,Denmark,Denmark,Denmark,Member,Meteorology
General (Director),Delcambre,Émile,1871,1951,French Meteorological Service,Paris,Paris,France,France,France,Member,Meteorology
,Dongier,Raphaël,1866,1929,Institute for Geosciences,Paris,Paris,France,France,France,Member,Meteorology
(Vice-President),Dop,Louis,1866,1935,International Institute of Agriculture,Rome,Rome,Italy,Italy,Italy,Member,Agriculture
(Director),Eredia,Filippo,1877,1948,Italian Central Bureau of Meteorology and Geodynamics,Rome,Rome,Italy,Italy,Italy,Member,Meteorology
"Dr
(Director)",Ferraz,Joaquim de Sampaio,1882,1966,Brasilian Meteorological Institute,Rio de Janeiro,Rio de Janeiro,Brasil,Brasil,Brasil,Member,Meteorology
,Figuereido,Filipe Eduardo de Almeida,1858,1930,Portuguese Agronomy Institute,Lisbon,Lisbon,Portugal,Portugal,Portugal,Member,Agriculture
(Chief),Fisher,Ronald Aylmer,1890,1962,Rothamsted Experimental Station,Harpenden,Harpenden,Great Britain,Great Britain,Great Britain,Member,Agriculture
"Prof Dr
(Director)",Fontseré i Riba,Eduardo,1870,1970,Catalan Meteorological Service,Barcelona,Barcelona,Spain,Spain,Spain,Member,Meteorology
(Director),Galbis,José,1868,1952,National Association of Agricultural Insurances,Madrid,Madrid,Spain,Spain,Spain,Member,Geography
,Geiger,Rudolf,1894,1981,Bavarian Meteorological Service,Munich,Munich,Germany,Germany,Germany,Member,Meteorology
,Girola,Carlos de Alberti,1869,1934,National University of Buenos Aires,Buenos Aires,Buenos Aires,Argentina,Argentina,Argentina,Member,Agriculture
