Person title (if any),Surname,Name,Born,Died,Affiliation,City (Affiliation) History,City (Affiliation) Geography,Nation (Affiliation) History,Nation (Affiliation) Network,Nation (Affiliation) Geography,Role in the IMO Commission,Field of study
(Director),Åkerman,Ake,1887,1955,Svalöf Plant Breeding Institute,Svalöf,Svalöv,Sweden,Sweden,Sweden,Member,Agriculture
"(Prof)
[Chair of agricultural ecology]",Azzi,Girolamo,1885,1969,Agronomy Institute,Perugia,Perugia,Italy,Italy,Italy,Member,Agriculture
(Director),Bamford,Alec Joscelyne,1885,1957,Colombo Observatory,Colombo,Colombo,Great Britain (Ceylon),Great Britain,Sri Lanka,Member,Meteorology
(Director),Barloti,Jānis,1895,1965,Central Meteorological Bureau of Latvia,Riga,Riga,Latvia,Latvia,Latvia,Member,Agriculture
Rev Chaplain-Colonel (Consultant meteorologist),Bates,Daniel Cross,1868,1954,New Zealand Department of Scientific and Industrial Research,Wellington,Wellington,New Zealand,New Zealand,New Zealand,Member,Meteorology
"Révérend Père
(Director)",Berloty,Bonaventure,1856,1934,Ksara Observatory,Ksara,Ksara,France (French Syria),France,Lebanon,Member,Meteorology
,Birkeland,Bernt Johannes,1879,1955,Norwegian Meteorological Institute,Oslo,Oslo,Norway,Norway,Norway,Member,Meteorology
Dr,Braak,Cornelis,1880,1973,Royal Dutch Meteorological Institute,de Bilt,de Bilt,The Netherlands,The Netherlands,The Netherlands,Member,Meteorology
,Bureau,Robert,1892,1965,French Meteorological Service,Paris,Paris,France,France,France,Member,Meteorology
"Ingénieur agronome
(Chief)",Carton,Paul,1891,1969,"Climatology and Agricultural Meteorology Bureau, Indochina Central Observatory",Phu Lien,Phu Lien,France (French Indochina),France,Vietnam,Member,Agriculture
(Director),Chaptal,Léon,1882,1949,Central Experimental Station for Agricultural Physics and Climatology,Montpellier,Montpellier,France,France,France,Member,Agriculture
(Chief Climatologist),Connor,Abraham James,1884,1955,Canadian Meteorological Service,Toronto,Toronto,Canada,Canada,Canada,Member,Meteorology
(Director),La Cour,Dan,1876,1942,Danish Meteorological Institute,Copenhagen,Copenhagen,Denmark,Denmark,Denmark,Member,Meteorology
General (Director),Delcambre,Émile,1871,1951,French Meteorological Service,Paris,Paris,France,France,France,Member,Meteorology
(Vice-President),Dop,Louis,1866,1935,International Institute of Agriculture,Rome,Rome,Italy,Italy,Italy,Member,Agriculture
Prof,Eredia,Filippo,1877,1948,"Forecasting Service, Italian Central Bureau of Meteorology and Geodynamics",Rome,Rome,Italy,Italy,Italy,Member,Meteorology
"Dr
(Director)",Ferraz,Joaquim de Sampaio,1882,1966,Brasilian Meteorological Institute,Rio de Janeiro,Rio de Janeiro,Brasil,Brasil,Brasil,Member,Meteorology
(Chief),Fisher,Ronald Aylmer,1890,1962,Rothamsted Experimental Station,Harpenden,Harpenden,Great Britain,Great Britain,Great Britain,Member,Agriculture
"Prof Dr
(Director)",Fontseré i Riba,Eduardo,1870,1970,Catalan Meteorological Service,Barcelona,Barcelona,Spain,Spain,Spain,Member,Meteorology
(Director),Galbis,José,1868,1952,Geographic Engineers Service,Madrid,Madrid,Spain,Spain,Spain,Member,Geography
,Geiger,Rudolf,1894,1981,Bavarian Meteorological Service,Munich,Munich,Germany,Germany,Germany,Member,Meteorology
