,,Surname,Name,Born,Died,Affiliation,City (Affiliation) History,City (Affiliation) Geography,Nation (Affiliation) History,Nation (Affiliation) Geography,Role in the IMO Commission,Field of study
1919,0,Angot,(Charles) Alfred,1848,1924,French Central Meteorological Bureau,Paris,Paris,France,France,President,Meteorology
1919,1,Azzi,Girolamo,1885,1969,Italian Central Bureau of Meteorology and Geodynamics,Rome,Rome,Italy,Italy,Member,Agriculture
1919,2,Bates,Daniel Cross,1868,1954,Dominion Meteorological Office,Wellington,Wellington,New Zealand,New Zealand,Member,Meteorology
1919,3,Berloty,Bonaventure,1856,1934,Ksara Observatory,Ksara,Ksara,France (French Syria),Lebanon,Member,Meteorology
1919,4,Connor,Abraham James,1884,1955,Canadian Meteorological Service,Toronto,Toronto,Canada,Canada,Member,Meteorology
1919,5,Dongier,Raphaël,1866,1929,French Central Meteorological Bureau,Paris,Paris,France,France,Member,Meteorology
1919,6,Fontseré i Riba,Eduardo,1870,1970,Aerological Station,Barcelona,Barcelona,Spain,Spain,Member,Meteorology
1919,7,Galbis,José,1868,1952,Spanish Meteorological Service,Madrid,Madrid,Spain,Spain,Member,Geography
1919,8,van Gulik ,Dirk,1868,1935,Wageningen Agricultural College,Wageningen,Wageningen,The Netherlands,The Netherlands,Member,Meteorology
1919,9,Hesselberg,Hans Theodor,1885,1966,Norwegian Meteorological Institute,Christiania,Oslo,Norway,Norway,Member,Meteorology
1919,10,Mathias,Émile,1861,1942,Puy-de-Dôme Observatory,Clermont-Ferrand,Clermont-Ferrand,France,France,Member,Meteorology
1919,11,Mercanton,Paul Louis,1876,1963,Swiss Geophysical Society and University of Lausanne,Lausanne,Lausanne,Switzerland,Switzerland,Member,Meteorology
1919,12,Rey,Pierre,1876,1946,Agricultural Meteorological Service,Paris,Paris,France,France,Member,Agriculture
1919,13,Ryder,Carl H.,1858,1923,Danish Meteorological Institute,Copenhagen,Copenhagen,Denmark,Denmark,Member,Meteorology
1919,14,Shutt,Frank Thomas,1859,1940,Dominion Experimental Farm,Ottawa,Ottawa,Canada,Canada,Member,Agriculture
1919,15,Taylor,Thomas Griffith,1880,1963,Commonwealth Meteorological Service,Melbourne,Melbourne,Australia,Australia,Member,Geography
1919,16,Wallén,Axel Wilhelm,1877,1935,Swedish Hydrographical and Meteorological Service,Stockholm,Stockholm,Sweden,Sweden,Member,Meteorology
1919,17,Whipple,Francis John Welsh,1876,1943,British Meteorological Office,London,London,Great Britain,Great Britain,Member,Meteorology
1921,0,Åkerman,Ake,1887,1955,Svalöf Plant Breeding Institute,Svalöf,Svalöf,Sweden,Sweden,Member,Agriculture
1921,1,Angot,Alfred,1848,1924,French Central Meteorological Bureau,Paris,Paris,France,France,President,Meteorology
1921,2,Azzi,Girolamo,1885,1969,Italian Central Bureau of Meteorology and Geodynamics,Rome,Rome,Italy,Italy,Member,Agriculture
1921,3,Bates,Daniel Cross,1868,1954,Dominion Meteorological Office,Wellington,Wellington,New Zealand,New Zealand,Member,Meteorology
1921,4,Berloty,Bonaventure,1856,1934,Ksara Observatory,Ksara,Ksara,France (French Syria),Lebanon,Member,Meteorology
1921,5,Connor,Abraham James,1884,1955,Canadian Meteorological Service,Toronto,Toronto,Canada,Canada,Member,Meteorology
1921,6,Dongier,Raphaël,1866,1929,Institute for Geosciences,Paris,Paris,France,France,Member,Meteorology
1921,7,Dop,Louis,1866,1935,International Institute of Agriculture,Rome,Rome,Italy,Italy,Member,Agriculture
1921,8,Engler,Arnold,1869,1923,ETH and Swiss Federal Institute for Forestry Research,Zurich,Zurich,Switzerland,Switzerland,Member,Agriculture
1921,9,Fisher,Ronald Aylmer,1890,1962,Rothamsted Experimental Station,Harpenden,Harpenden,Great Britain,Great Britain,Member,Agriculture
1921,10,Fontseré i Riba,Eduardo,1870,1970,Aerological Station,Barcelona,Barcelona,Spain,Spain,Member,Meteorology
1921,11,Galbis,José,1868,1952,Geographical Service,Madrid,Madrid,Spain,Spain,Member,Geography
1921,12,Gomes,Mário de Azevedo,1885,1965,Portuguese Agronomy Institute,Lisbon,Lisbon,Portugal,Portugal,Member,Agriculture
1921,13,van Gulik,Dirk,1868,1935,Wageningen Agricultural College,Wageningen,Wageningen,The Netherlands,The Netherlands,Member,Meteorology
1921,14,Hagem,Oscar,1885,1982,Bergen Museum,Bergen,Bergen,Norway,Norway,Member,Agriculture
1921,15,Hesselberg,(Hans) Theodor,1885,1966,Norwegian Meteorological Institute,Christiania,Oslo,Norway,Norway,Member,Meteorology
1921,16,Hooker,Reginald Hawthorn,1867,1944,British Ministry of Agriculture and Fisheries,London,London,Great Britain,Great Britain,Member,Agriculture
1921,17,Mathias,Émile,1861,1942,Puy-de-Dôme Observatory,Clermont-Ferrand,Clermont-Ferrand,France,France,Member,Meteorology
1921,18,Mercanton,Paul Louis,1876,1963,"University of Lausanne and Meteorological Service, Canton of Vaud",Lausanne,Lausanne,Switzerland,Switzerland,Member,Meteorology
1921,19,Okada,Takematsu,1874,1956,Japan Central Meteorological Observatory,Tokyo,Tokyo,Japan,Japan,Member,Meteorology
1921,20,Rey,Pierre,1876,1946,Agricultural Meteorological Service,Paris,Paris,France,France,Member,Agriculture
1921,21,Ryder,Carl H.,1858,1923,Danish Meteorological Institute,Copenhagen,Copenhagen,Denmark,Denmark,Member,Meteorology
1921,22,Shutt,Frank Thomas,1859,1940,Dominion Experimental Farm,Ottawa,Ottawa,Canada,Canada,Member,Agriculture
1921,23,Smith,John Warren,1863,1940,"Division of Agricultural Meteorology, US Weather Bureau",Washington,Washington,United States,United States,Member,Agriculture
1921,24,Taylor,Thomas Griffith,1880,1963,"Department of Geography, University of Sydney",Sydney,Sydney,Australia,Australia,Member,Geography
1921,25,Wallén,Axel Wilhelm,1877,1935,Swedish Hydrographical and Meteorological Service,Stockholm,Stockholm,Sweden,Sweden,Secretary,Meteorology
1921,26,Wery,Georges Eugène,1861,1936,French National Agronomy Institute,Paris,Paris,France,France,Member,Agriculture
1921,27,Westerdijk,Johanna,1883,1961,"W. C. Scholten Laboratory, University of Utrecht",Baarn,Baarn,The Netherlands,The Netherlands,Member,Agriculture
1921,28,Whipple,Francis John Welsh,1876,1943,British Meteorological Office,London,London,Great Britain,Great Britain,Member,Meteorology
1923,0,Åkerman,Ake,1887,1955,Svalöf Plant Breeding Institute,Svalöf,Svalöv,Sweden,Sweden,Member,Agriculture
1923,1,Angot,Alfred,1848,1924,,Paris,Paris,France,France,Member,Meteorology
