Agostinho,['Portugal (Azores)']
Angot,['France']
Askinazy,['USSR']
Azzi,['Italy']
Bamford,['Great Britain (Ceylon)']
Barloti,['Latvia']
Bates,['New Zealand']
Berce,['Belgium']
Bergeiro,['Uruguay']
Berloty,['France (French Syria)']
Berényi,['Hungary']
Birkeland,['Norway']
Braak,['The Netherlands']
Brounov,['Russia']
Bureau,['France']
Carton,['Indochine']
Chaptal,['France']
Connor,['Canada']
Delcambre,['France']
Dongier,['France']
Dop,['Italy']
Duckert,['Germany']
Engler,['Switzerland']
Eredia,['Italy']
Ferraz,['Brasil']
Figuereido,['Portugal']
Fisher,['Great Britain']
Fleischmann,['Hungary']
Fontseré i Riba,['Spain']
Galbis,['Spain']
Geiger,['Germany']
Geslin,['France']
Girola,['Argentina']
Godard,['France']
Gomes,['Portugal']
Gumiński,['Poland']
Hagem,['Norway']
Hansen,['Denmark']
Hartman,['The Netherlands']
Hesselberg,['Norway']
Hiltner,['Germany']
Hirata,['Japan']
Holdefleiss,['Germany']
Hooker,['Great Britain']
Hubert,['France']
Keen,['Great Britain']
Keränen,['Finland']
Kessler,['Germany']
Kincer,['USA']
Kiroff,['Bulgaria']
Knoch,['Germany']
Koloskov,['USSR']
Korhonen,['Finland']
Koschmieder,['Germany']
La Cour,['Denmark']
Lugeon,['Poland']
Mariolopulos,['Greece']
Mathias,['France']
Melander,['Finland']
Mercanton,['Switzerland']
Meseguer y Marin,['Spain']
Nagle,['Ireland']
Normand,['Great Britain (India)']
Nuño,['Chile']
Okada,['Japan']
Patterson,['Canada']
Proudhomme,['France']
Ramdas,['Great Britain']
Rey,['France']
Ryder,['Denmark']
Réthly,['Hungary']
Sabucedo del Arenal,['Spain']
Sanson,['France']
Schedler,['Austria']
Schindler,['France']
Schmidt,['Austria']
Schubert,['Germany']
Schönrock,['USSR']
Shaw,['Great Britain']
Shutt,['Canada']
Simpson,['Great Britain']
Smith,['United States']
Sophoterow,['USSR']
Stewart,['South Africa']
Taylor,['Australia']
Wallén,['Sweden']
Walter,['Great Britain (Kenya)']
Wehrlé,['France']
Wery,['France']
Westerdijk,['The Netherlands']
Whipple,['Great Britain']
van Everdingen,['The Netherlands']
van Gulik,['The Netherlands']
Åkerman,['Sweden']
Ångstrøm,['Sweden']
